1
2
3
4
5
6
7
8
9
10
11
12
touch
1
event at 1599638592.089347, code 57, type 03, val 22
event at 1599638624.696408, code 54, type 03, val 436
event at 1599638624.696408, code 330, type 01, val 01
event at 1599638624.696408, code 00, type 03, val 66
event at 1599638624.696408, code 01, type 03, val 436
event at 1599638624.696408, code 00, type 00, val 00
touch
1
event at 1599638624.797101, code 53, type 03, val 67
event at 1599638624.797101, code 00, type 03, val 67
event at 1599638624.797101, code 00, type 00, val 00
event at 1599638624.830827, code 53, type 03, val 70
event at 1599638624.830827, code 54, type 03, val 433
event at 1599638617.359637, code 00, type 03, val 464
event at 1599638617.359637, code 01, type 03, val 255
event at 1599638617.359637, code 00, type 00, val 00
event at 1599638617.477076, code 54, type 03, val 256
event at 1599638617.477076, code 01, type 03, val 256
event at 1599638617.477076, code 00, type 00, val 00
event at 1599638617.493977, code 57, type 03, val -1
event at 1599638617.493977, code 330, type 01, val 00
event at 1599638617.493977, code 00, type 00, val 00
touch
1
event at 1599638617.678243, code 57, type 03, val 35
event at 1599638617.678243, code 53, type 03, val 719
event at 1599638617.678243, code 54, type 03, val 394
event at 1599638617.678243, code 330, type 01, val 01
event at 1599638617.678243, code 00, type 03, val 719
event at 1599638617.678243, code 01, type 03, val 394
event at 1599638617.678243, code 00, type 00, val 00
event at 1599638617.829163, code 53, type 03, val 718
event at 1599638617.829163, code 54, type 03, val 393
event at 1599638617.829163, code 00, type 03, val 718
event at 1599638617.829163, code 01, type 03, val 393
event at 1599638617.829163, code 00, type 00, val 00
event at 1599638617.846032, code 57, type 03, val -1
event at 1599638617.846032, code 330, type 01, val 00
event at 1599638617.846032, code 00, type 00, val 00
event at 1599638618.582880, code 57, type 03, val 36
event at 1599638618.582880, code 53, type 03, val 44
event at 1599638618.582880, code 54, type 03, val 412
event at 1599638618.582880, code 330, type 01, val 01
event at 1599638618.582880, code 00, type 03, val 44
event at 1599638618.582880, code 01, type 03, val 412
event at 1599638618.582880, code 00, type 00, val 00
touch
1
event at 1599638618.700365, code 53, type 03, val 45
event at 1599638618.700365, code 54, type 03, val 415
event at 1599638618.700365, code 00, type 03, val 45
event at 1599638618.700365, code 01, type 03, val 415
event at 1599638618.700365, code 00, type 00, val 00
event at 1599638618.717351, code 57, type 03, val -1
event at 1599638618.717351, code 330, type 01, val 00
event at 1599638618.717351, code 00, type 00, val 00
event at 1599638619.202861, code 57, type 03, val 37
event at 1599638619.202861, code 53, type 03, val 451
event at 1599638619.202861, code 54, type 03, val 293
event at 1599638619.202861, code 330, type 01, val 01
event at 1599638619.202861, code 00, type 03, val 451
event at 1599638619.202861, code 01, type 03, val 293
event at 1599638619.202861, code 00, type 00, val 00
event at 1599638619.270226, code 53, type 03, val 450
event at 1599638619.270226, code 00, type 03, val 450
event at 1599638619.270226, code 00, type 00, val 00
event at 1599638619.337466, code 53, type 03, val 448
event at 1599638619.337466, code 54, type 03, val 295
event at 1599638619.337466, code 00, type 03, val 448
event at 1599638619.337466, code 01, type 03, val 295
event at 1599638619.337466, code 00, type 00, val 00
event at 1599638619.354508, code 57, type 03, val -1
event at 1599638619.354508, code 330, type 01, val 00
event at 1599638619.354508, code 00, type 00, val 00
event at 1599638619.672493, code 57, type 03, val 38
event at 1599638619.672493, code 53, type 03, val 686
event at 1599638619.672493, code 54, type 03, val 379
event at 1599638619.672493, code 330, type 01, val 01
event at 1599638619.672493, code 00, type 03, val 686
event at 1599638619.672493, code 01, type 03, val 379
event at 1599638619.672493, code 00, type 00, val 00
touch
1
event at 1599638619.773128, code 54, type 03, val 380
event at 1599638619.773128, code 01, type 03, val 380
event at 1599638619.773128, code 00, type 00, val 00
event at 1599638619.790067, code 57, type 03, val -1
event at 1599638619.790067, code 330, type 01, val 00
event at 1599638619.790067, code 00, type 00, val 00
event at 1599638620.677081, code 57, type 03, val 39
event at 1599638620.677081, code 53, type 03, val 91
event at 1599638620.677081, code 54, type 03, val 426
event at 1599638620.677081, code 330, type 01, val 01
event at 1599638620.677081, code 00, type 03, val 91
event at 1599638620.677081, code 01, type 03, val 426
event at 1599638620.677081, code 00, type 00, val 00
touch
1
event at 1599638620.794425, code 57, type 03, val -1
event at 1599638620.794425, code 330, type 01, val 00
event at 1599638620.794425, code 00, type 00, val 00
event at 1599638621.413972, code 57, type 03, val 40
event at 1599638621.413972, code 53, type 03, val 530
event at 1599638621.413972, code 54, type 03, val 138
event at 1599638621.413972, code 330, type 01, val 01
event at 1599638621.413972, code 00, type 03, val 530
event at 1599638621.413972, code 01, type 03, val 138
event at 1599638621.413972, code 00, type 00, val 00
event at 1599638621.497838, code 53, type 03, val 529
event at 1599638621.497838, code 54, type 03, val 140
event at 1599638621.497838, code 00, type 03, val 529
event at 1599638621.497838, code 01, type 03, val 140
event at 1599638621.497838, code 00, type 00, val 00
event at 1599638621.514697, code 57, type 03, val -1
event at 1599638621.514697, code 330, type 01, val 00
event at 1599638621.514697, code 00, type 00, val 00
2
touch
1
event at 1599638622.100617, code 57, type 03, val 41
event at 1599638622.100617, code 53, type 03, val 363
event at 1599638622.100617, code 54, type 03, val 221
event at 1599638622.100617, code 330, type 01, val 01
event at 1599638622.100617, code 00, type 03, val 363
event at 1599638622.100617, code 01, type 03, val 221
event at 1599638622.100617, code 00, type 00, val 00
event at 1599638622.167871, code 57, type 03, val -1
event at 1599638622.167871, code 330, type 01, val 00
event at 1599638622.167871, code 00, type 00, val 00
event at 1599638622.452487, code 57, type 03, val 42
event at 1599638622.452487, code 53, type 03, val 749
event at 1599638622.452487, code 54, type 03, val 389
event at 1599638622.452487, code 330, type 01, val 01
event at 1599638622.452487, code 00, type 03, val 749
event at 1599638622.452487, code 01, type 03, val 389
event at 1599638622.452487, code 00, type 00, val 00
event at 1599638622.502870, code 53, type 03, val 747
event at 1599638622.502870, code 54, type 03, val 387
event at 1599638622.502870, code 00, type 03, val 747
event at 1599638622.502870, code 01, type 03, val 387
event at 1599638622.502870, code 00, type 00, val 00
event at 1599638622.569988, code 53, type 03, val 739
event at 1599638622.569988, code 54, type 03, val 386
event at 1599638622.569988, code 00, type 03, val 739
event at 1599638622.569988, code 01, type 03, val 386
event at 1599638622.569988, code 00, type 00, val 00
event at 1599638622.586858, code 57, type 03, val -1
event at 1599638622.586858, code 330, type 01, val 00
event at 1599638622.586858, code 00, type 00, val 00
touch
1
event at 1599638623.724834, code 57, type 03, val 43
event at 1599638623.724834, code 53, type 03, val 738
event at 1599638623.724834, code 54, type 03, val 282
event at 1599638623.724834, code 330, type 01, val 01
event at 1599638623.724834, code 00, type 03, val 738
event at 1599638623.724834, code 01, type 03, val 282
event at 1599638623.724834, code 00, type 00, val 00
event at 1599638623.859060, code 53, type 03, val 739
event at 1599638623.859060, code 54, type 03, val 284
event at 1599638623.859060, code 00, type 03, val 739
event at 1599638623.859060, code 01, type 03, val 284
event at 1599638623.859060, code 00, type 00, val 00
event at 1599638623.892809, code 57, type 03, val -1
event at 1599638623.892809, code 330, type 01, val 00
event at 1599638623.892809, code 00, type 00, val 00
event at 1599638624.696408, code 57, type 03, val 44
event at 1599638624.696408, code 53, type 03, val 66
event at 1599638624.696408, code 54, type 03, val 436
event at 1599638624.696408, code 330, type 01, val 01
event at 1599638624.696408, code 00, type 03, val 66
event at 1599638624.696408, code 01, type 03, val 436
event at 1599638624.696408, code 00, type 00, val 00
touch
1
event at 1599638624.797101, code 53, type 03, val 67
event at 1599638624.797101, code 00, type 03, val 67
event at 1599638624.797101, code 00, type 00, val 00
event at 1599638624.830827, code 53, type 03, val 70
event at 1599638624.830827, code 54, type 03, val 433
event at 1599638624.830827, code 00, type 03, val 70
event at 1599638624.830827, code 01, type 03, val 433
event at 1599638624.830827, code 00, type 00, val 00
event at 1599638624.864512, code 57, type 03, val -1
event at 1599638624.864512, code 330, type 01, val 00
event at 1599638624.864512, code 00, type 00, val 00
2
touch
1
event at 1599638626.387374, code 57, type 03, val 45
event at 1599638626.387374, code 53, type 03, val 531
event at 1599638626.387374, code 54, type 03, val 225
event at 1599638626.387374, code 330, type 01, val 01
event at 1599638626.387374, code 00, type 03, val 531
event at 1599638626.387374, code 01, type 03, val 225
event at 1599638626.387374, code 00, type 00, val 00
event at 1599638626.538289, code 53, type 03, val 530
event at 1599638626.538289, code 00, type 03, val 530
event at 1599638626.538289, code 00, type 00, val 00
event at 1599638626.571915, code 57, type 03, val -1
event at 1599638626.571915, code 330, type 01, val 00
event at 1599638626.571915, code 00, type 00, val 00
event at 1599638626.973687, code 57, type 03, val 46
event at 1599638626.973687, code 53, type 03, val 552
event at 1599638626.973687, code 54, type 03, val 232
event at 1599638626.973687, code 330, type 01, val 01
event at 1599638626.973687, code 00, type 03, val 552
event at 1599638626.973687, code 01, type 03, val 232
event at 1599638626.973687, code 00, type 00, val 00
event at 1599638627.107847, code 54, type 03, val 236
event at 1599638627.107847, code 01, type 03, val 236
event at 1599638627.107847, code 00, type 00, val 00
event at 1599638627.124777, code 57, type 03, val -1
event at 1599638627.124777, code 330, type 01, val 00
event at 1599638627.124777, code 00, type 00, val 00
event at 1599638627.242074, code 57, type 03, val 47
event at 1599638627.242074, code 53, type 03, val 663
event at 1599638627.242074, code 54, type 03, val 365
event at 1599638627.242074, code 330, type 01, val 01
event at 1599638627.242074, code 00, type 03, val 663
event at 1599638627.242074, code 01, type 03, val 365
event at 1599638627.242074, code 00, type 00, val 00
event at 1599638627.259002, code 53, type 03, val 664
event at 1599638627.259002, code 00, type 03, val 664
event at 1599638627.259002, code 00, type 00, val 00
event at 1599638627.275957, code 53, type 03, val 667
event at 1599638627.275957, code 54, type 03, val 366
event at 1599638627.275957, code 00, type 03, val 667
event at 1599638627.275957, code 01, type 03, val 366
event at 1599638627.275957, code 00, type 00, val 00
event at 1599638627.309628, code 53, type 03, val 677
event at 1599638627.309628, code 54, type 03, val 370
event at 1599638627.309628, code 00, type 03, val 677
event at 1599638627.309628, code 01, type 03, val 370
event at 1599638627.309628, code 00, type 00, val 00
event at 1599638627.326506, code 53, type 03, val 684
event at 1599638627.326506, code 54, type 03, val 372
event at 1599638627.326506, code 00, type 03, val 684
event at 1599638627.326506, code 01, type 03, val 372
event at 1599638627.326506, code 00, type 00, val 00
event at 1599638627.343413, code 53, type 03, val 695
event at 1599638627.343413, code 54, type 03, val 376
event at 1599638627.343413, code 00, type 03, val 695
event at 1599638627.343413, code 01, type 03, val 376
event at 1599638627.343413, code 00, type 00, val 00
event at 1599638627.360292, code 53, type 03, val 698
event at 1599638627.360292, code 54, type 03, val 378
event at 1599638627.360292, code 00, type 03, val 698
event at 1599638627.360292, code 01, type 03, val 378
event at 1599638627.360292, code 00, type 00, val 00
event at 1599638627.377202, code 53, type 03, val 701
event at 1599638627.377202, code 54, type 03, val 379
event at 1599638627.377202, code 00, type 03, val 701
touch
1
event at 1599638627.377202, code 01, type 03, val 379
event at 1599638627.377202, code 00, type 00, val 00
event at 1599638627.427577, code 54, type 03, val 380
event at 1599638627.427577, code 01, type 03, val 380
event at 1599638627.427577, code 00, type 00, val 00
event at 1599638627.444451, code 57, type 03, val -1
event at 1599638627.444451, code 330, type 01, val 00
event at 1599638627.444451, code 00, type 00, val 00
touch
1
event at 1599638628.549187, code 57, type 03, val 48
event at 1599638628.549187, code 53, type 03, val 748
event at 1599638628.549187, code 54, type 03, val 250
event at 1599638628.549187, code 330, type 01, val 01
event at 1599638628.549187, code 00, type 03, val 748
event at 1599638628.549187, code 01, type 03, val 250
event at 1599638628.549187, code 00, type 00, val 00
event at 1599638628.666600, code 54, type 03, val 251
event at 1599638628.666600, code 01, type 03, val 251
event at 1599638628.666600, code 00, type 00, val 00
event at 1599638628.700236, code 53, type 03, val 747
event at 1599638628.700236, code 54, type 03, val 255
event at 1599638628.700236, code 00, type 03, val 747
event at 1599638628.700236, code 01, type 03, val 255
event at 1599638628.700236, code 00, type 00, val 00
event at 1599638628.717122, code 57, type 03, val -1
event at 1599638628.717122, code 330, type 01, val 00
event at 1599638628.717122, code 00, type 00, val 00
2
3
4
5
6
7
8
9
10
11
touch
1
event at 1599638638.823842, code 57, type 03, val 49
event at 1599638638.823842, code 53, type 03, val 66
event at 1599638638.823842, code 54, type 03, val 428
event at 1599638638.823842, code 330, type 01, val 01
event at 1599638638.823842, code 00, type 03, val 66
event at 1599638638.823842, code 01, type 03, val 428
event at 1599638638.823842, code 00, type 00, val 00
event at 1599638638.891045, code 57, type 03, val -1
event at 1599638638.891045, code 330, type 01, val 00
event at 1599638638.891045, code 00, type 00, val 00
touch
1
event at 1599638640.313478, code 57, type 03, val 50
event at 1599638640.313478, code 53, type 03, val 729
event at 1599638640.313478, code 54, type 03, val 432
event at 1599638640.313478, code 330, type 01, val 01
event at 1599638640.313478, code 00, type 03, val 729
event at 1599638640.313478, code 01, type 03, val 432
event at 1599638640.313478, code 00, type 00, val 00
event at 1599638640.397527, code 53, type 03, val 728
event at 1599638640.397527, code 54, type 03, val 431
event at 1599638640.397527, code 00, type 03, val 728
event at 1599638640.397527, code 01, type 03, val 431
event at 1599638640.397527, code 00, type 00, val 00
event at 1599638640.414513, code 57, type 03, val -1
event at 1599638640.414513, code 330, type 01, val 00
event at 1599638640.414513, code 00, type 00, val 00
2
3
4
5
6
7
8
9
10
11
touch
1
event at 1599638651.608853, code 57, type 03, val 51
event at 1599638651.608853, code 53, type 03, val 570
event at 1599638651.608853, code 54, type 03, val 412
event at 1599638651.608853, code 330, type 01, val 01
event at 1599638651.608853, code 00, type 03, val 570
event at 1599638651.608853, code 01, type 03, val 412
event at 1599638651.608853, code 00, type 00, val 00
event at 1599638651.692991, code 54, type 03, val 413
event at 1599638651.692991, code 01, type 03, val 413
event at 1599638651.692991, code 00, type 00, val 00
event at 1599638651.709884, code 57, type 03, val -1
event at 1599638651.709884, code 330, type 01, val 00
event at 1599638651.709884, code 00, type 00, val 00
event at 1599638652.580247, code 57, type 03, val 52
event at 1599638652.580247, code 53, type 03, val 700
event at 1599638652.580247, code 54, type 03, val 414
event at 1599638652.580247, code 330, type 01, val 01
event at 1599638652.580247, code 00, type 03, val 700
event at 1599638652.580247, code 01, type 03, val 414
event at 1599638652.580247, code 00, type 00, val 00
touch
1
event at 1599638652.664087, code 54, type 03, val 416
event at 1599638652.664087, code 01, type 03, val 416
event at 1599638652.664087, code 00, type 00, val 00
event at 1599638652.681114, code 57, type 03, val -1
event at 1599638652.681114, code 330, type 01, val 00
event at 1599638652.681114, code 00, type 00, val 00
2
touch
1
event at 1599638654.204117, code 57, type 03, val 53
event at 1599638654.204117, code 53, type 03, val 631
event at 1599638654.204117, code 54, type 03, val 289
event at 1599638654.204117, code 330, type 01, val 01
event at 1599638624.830827, code 00, type 03, val 70
event at 1599638624.830827, code 01, type 03, val 433
event at 1599638624.830827, code 00, type 00, val 00
event at 1599638624.864512, code 57, type 03, val -1
event at 1599638624.864512, code 330, type 01, val 00
event at 1599638624.864512, code 00, type 00, val 00
2
touch
1
event at 1599638626.387374, code 57, type 03, val 45
event at 1599638626.387374, code 53, type 03, val 531
event at 1599638626.387374, code 54, type 03, val 225
event at 1599638626.387374, code 330, type 01, val 01
event at 1599638626.387374, code 00, type 03, val 531
event at 1599638626.387374, code 01, type 03, val 225
event at 1599638626.387374, code 00, type 00, val 00
event at 1599638626.538289, code 53, type 03, val 530
event at 1599638626.538289, code 00, type 03, val 530
event at 1599638626.538289, code 00, type 00, val 00
event at 1599638626.571915, code 57, type 03, val -1
event at 1599638626.571915, code 330, type 01, val 00
event at 1599638626.571915, code 00, type 00, val 00
event at 1599638626.973687, code 57, type 03, val 46
event at 1599638626.973687, code 53, type 03, val 552
event at 1599638626.973687, code 54, type 03, val 232
event at 1599638626.973687, code 330, type 01, val 01
event at 1599638626.973687, code 00, type 03, val 552
event at 1599638626.973687, code 01, type 03, val 232
event at 1599638626.973687, code 00, type 00, val 00
event at 1599638627.107847, code 54, type 03, val 236
event at 1599638627.107847, code 01, type 03, val 236
event at 1599638627.107847, code 00, type 00, val 00
event at 1599638627.124777, code 57, type 03, val -1
event at 1599638627.124777, code 330, type 01, val 00
event at 1599638627.124777, code 00, type 00, val 00
event at 1599638627.242074, code 57, type 03, val 47
event at 1599638627.242074, code 53, type 03, val 663
event at 1599638627.242074, code 54, type 03, val 365
event at 1599638627.242074, code 330, type 01, val 01
event at 1599638627.242074, code 00, type 03, val 663
event at 1599638627.242074, code 01, type 03, val 365
event at 1599638627.242074, code 00, type 00, val 00
event at 1599638627.259002, code 53, type 03, val 664
event at 1599638627.259002, code 00, type 03, val 664
event at 1599638627.259002, code 00, type 00, val 00
event at 1599638627.275957, code 53, type 03, val 667
event at 1599638627.275957, code 54, type 03, val 366
event at 1599638627.275957, code 00, type 03, val 667
event at 1599638627.275957, code 01, type 03, val 366
event at 1599638627.275957, code 00, type 00, val 00
event at 1599638627.309628, code 53, type 03, val 677
event at 1599638627.309628, code 54, type 03, val 370
event at 1599638627.309628, code 00, type 03, val 677
event at 1599638627.309628, code 01, type 03, val 370
event at 1599638627.309628, code 00, type 00, val 00
event at 1599638627.326506, code 53, type 03, val 684
event at 1599638627.326506, code 54, type 03, val 372
event at 1599638627.326506, code 00, type 03, val 684
event at 1599638627.326506, code 01, type 03, val 372
event at 1599638627.326506, code 00, type 00, val 00
event at 1599638627.343413, code 53, type 03, val 695
event at 1599638627.343413, code 54, type 03, val 376
event at 1599638627.343413, code 00, type 03, val 695
event at 1599638627.343413, code 01, type 03, val 376
event at 1599638627.343413, code 00, type 00, val 00
event at 1599638627.360292, code 53, type 03, val 698
event at 1599638627.360292, code 54, type 03, val 378
event at 1599638627.360292, code 00, type 03, val 698
event at 1599638627.360292, code 01, type 03, val 378
event at 1599638627.360292, code 00, type 00, val 00
event at 1599638627.377202, code 53, type 03, val 701
event at 1599638627.377202, code 54, type 03, val 379
event at 1599638627.377202, code 00, type 03, val 701
touch
1
event at 1599638627.377202, code 01, type 03, val 379
event at 1599638627.377202, code 00, type 00, val 00
event at 1599638627.427577, code 54, type 03, val 380
event at 1599638627.427577, code 01, type 03, val 380
event at 1599638627.427577, code 00, type 00, val 00
event at 1599638627.444451, code 57, type 03, val -1
event at 1599638627.444451, code 330, type 01, val 00
event at 1599638627.444451, code 00, type 00, val 00
touch
1
event at 1599638628.549187, code 57, type 03, val 48
event at 1599638628.549187, code 53, type 03, val 748
event at 1599638628.549187, code 54, type 03, val 250
event at 1599638628.549187, code 330, type 01, val 01
event at 1599638628.549187, code 00, type 03, val 748
event at 1599638628.549187, code 01, type 03, val 250
event at 1599638628.549187, code 00, type 00, val 00
event at 1599638628.666600, code 54, type 03, val 251
event at 1599638628.666600, code 01, type 03, val 251
event at 1599638628.666600, code 00, type 00, val 00
event at 1599638628.700236, code 53, type 03, val 747
event at 1599638628.700236, code 54, type 03, val 255
event at 1599638628.700236, code 00, type 03, val 747
event at 1599638628.700236, code 01, type 03, val 255
event at 1599638628.700236, code 00, type 00, val 00
event at 1599638628.717122, code 57, type 03, val -1
event at 1599638628.717122, code 330, type 01, val 00
event at 1599638628.717122, code 00, type 00, val 00
2
3
4
5
6
7
8
9
10
touch
1
event at 1599638638.823842, code 57, type 03, val 49
event at 1599638638.823842, code 53, type 03, val 66
event at 1599638638.823842, code 54, type 03, val 428
event at 1599638638.823842, code 330, type 01, val 01
event at 1599638638.823842, code 00, type 03, val 66
event at 1599638638.823842, code 01, type 03, val 428
event at 1599638638.823842, code 00, type 00, val 00
event at 1599638638.891045, code 57, type 03, val -1
event at 1599638638.891045, code 330, type 01, val 00
event at 1599638638.891045, code 00, type 00, val 00
2
touch
1
event at 1599638640.313478, code 57, type 03, val 50
event at 1599638640.313478, code 53, type 03, val 729
event at 1599638640.313478, code 54, type 03, val 432
event at 1599638640.313478, code 330, type 01, val 01
event at 1599638640.313478, code 00, type 03, val 729
event at 1599638640.313478, code 01, type 03, val 432
event at 1599638640.313478, code 00, type 00, val 00
event at 1599638640.397527, code 53, type 03, val 728
event at 1599638640.397527, code 54, type 03, val 431
event at 1599638640.397527, code 00, type 03, val 728
event at 1599638640.397527, code 01, type 03, val 431
event at 1599638640.397527, code 00, type 00, val 00
event at 1599638640.414513, code 57, type 03, val -1
event at 1599638640.414513, code 330, type 01, val 00
event at 1599638640.414513, code 00, type 00, val 00
2
3
4
5
6
7
8
9
10
11
touch
1
event at 1599638651.608853, code 57, type 03, val 51
event at 1599638651.608853, code 53, type 03, val 570
event at 1599638651.608853, code 54, type 03, val 412
event at 1599638651.608853, code 330, type 01, val 01
event at 1599638651.608853, code 00, type 03, val 570
event at 1599638651.608853, code 01, type 03, val 412
event at 1599638651.608853, code 00, type 00, val 00
event at 1599638651.692991, code 54, type 03, val 413
event at 1599638651.692991, code 01, type 03, val 413
event at 1599638651.692991, code 00, type 00, val 00
event at 1599638651.709884, code 57, type 03, val -1
event at 1599638651.709884, code 330, type 01, val 00
event at 1599638651.709884, code 00, type 00, val 00
event at 1599638652.580247, code 57, type 03, val 52
event at 1599638652.580247, code 53, type 03, val 700
event at 1599638652.580247, code 54, type 03, val 414
event at 1599638652.580247, code 330, type 01, val 01
event at 1599638652.580247, code 00, type 03, val 700
event at 1599638652.580247, code 01, type 03, val 414
event at 1599638652.580247, code 00, type 00, val 00
touch
1
event at 1599638652.664087, code 54, type 03, val 416
event at 1599638652.664087, code 01, type 03, val 416
event at 1599638652.664087, code 00, type 00, val 00
event at 1599638652.681114, code 57, type 03, val -1
event at 1599638652.681114, code 330, type 01, val 00
event at 1599638652.681114, code 00, type 00, val 00
2
touch
1
event at 1599638654.204117, code 57, type 03, val 53
event at 1599638654.204117, code 53, type 03, val 631
event at 1599638654.204117, code 54, type 03, val 289
event at 1599638654.204117, code 330, type 01, val 01
event at 1599638654.204117, code 00, type 03, val 631
event at 1599638654.204117, code 01, type 03, val 289
event at 1599638654.204117, code 00, type 00, val 00
event at 1599638654.271344, code 57, type 03, val -1
event at 1599638654.271344, code 330, type 01, val 00
event at 1599638654.271344, code 00, type 00, val 00
2
3
4
touch
1
event at 1599638657.885843, code 57, type 03, val 54
event at 1599638657.885843, code 53, type 03, val 774
event at 1599638657.885843, code 54, type 03, val 211
event at 1599638657.885843, code 330, type 01, val 01
event at 1599638657.885843, code 00, type 03, val 774
event at 1599638657.885843, code 01, type 03, val 211
event at 1599638657.885843, code 00, type 00, val 00
event at 1599638657.936409, code 53, type 03, val 772
event at 1599638657.936409, code 00, type 03, val 772
event at 1599638657.936409, code 00, type 00, val 00
event at 1599638657.986795, code 53, type 03, val 762
event at 1599638657.986795, code 54, type 03, val 216
event at 1599638657.986795, code 00, type 03, val 762
event at 1599638657.986795, code 01, type 03, val 216
event at 1599638657.986795, code 00, type 00, val 00
event at 1599638658.003743, code 57, type 03, val -1
event at 1599638658.003743, code 330, type 01, val 00
event at 1599638658.003743, code 00, type 00, val 00
event at 1599638658.573013, code 57, type 03, val 55
event at 1599638658.573013, code 53, type 03, val 11
event at 1599638658.573013, code 54, type 03, val 400
event at 1599638658.573013, code 330, type 01, val 01
event at 1599638658.573013, code 00, type 03, val 11
event at 1599638658.573013, code 01, type 03, val 400
event at 1599638658.573013, code 00, type 00, val 00
event at 1599638658.623422, code 53, type 03, val 13
event at 1599638658.623422, code 54, type 03, val 401
event at 1599638658.623422, code 00, type 03, val 13
event at 1599638658.623422, code 01, type 03, val 401
event at 1599638658.623422, code 00, type 00, val 00
event at 1599638658.640306, code 53, type 03, val 15
event at 1599638658.640306, code 54, type 03, val 402
event at 1599638658.640306, code 00, type 03, val 15
event at 1599638658.640306, code 01, type 03, val 402
event at 1599638658.640306, code 00, type 00, val 00
event at 1599638658.657187, code 53, type 03, val 17
event at 1599638658.657187, code 54, type 03, val 403
event at 1599638658.657187, code 00, type 03, val 17
event at 1599638658.657187, code 01, type 03, val 403
event at 1599638658.657187, code 00, type 00, val 00
event at 1599638658.690786, code 53, type 03, val 19
event at 1599638658.690786, code 54, type 03, val 405
event at 1599638658.690786, code 00, type 03, val 19
event at 1599638658.690786, code 01, type 03, val 405
event at 1599638658.690786, code 00, type 00, val 00
event at 1599638658.707677, code 57, type 03, val -1
event at 1599638658.707677, code 330, type 01, val 00
event at 1599638658.707677, code 00, type 00, val 00
touch
1
event at 1599638659.059252, code 57, type 03, val 56
event at 1599638659.059252, code 53, type 03, val 62
event at 1599638659.059252, code 54, type 03, val 416
event at 1599638659.059252, code 330, type 01, val 01
event at 1599638659.059252, code 00, type 03, val 62
event at 1599638659.059252, code 01, type 03, val 416
event at 1599638659.059252, code 00, type 00, val 00
event at 1599638659.109922, code 54, type 03, val 417
event at 1599638659.109922, code 01, type 03, val 417
event at 1599638659.109922, code 00, type 00, val 00
event at 1599638659.143728, code 57, type 03, val -1
event at 1599638659.143728, code 330, type 01, val 00
event at 1599638659.143728, code 00, type 00, val 00
2
3
touch
1
event at 1599638661.871821, code 57, type 03, val 57
event at 1599638661.871821, code 53, type 03, val 550
event at 1599638661.871821, code 54, type 03, val 246
event at 1599638661.871821, code 330, type 01, val 01
event at 1599638661.871821, code 00, type 03, val 550
event at 1599638661.871821, code 01, type 03, val 246
event at 1599638661.871821, code 00, type 00, val 00
event at 1599638661.955788, code 54, type 03, val 247
event at 1599638661.955788, code 01, type 03, val 247
event at 1599638661.955788, code 00, type 00, val 00
event at 1599638661.972822, code 57, type 03, val -1
event at 1599638661.972822, code 330, type 01, val 00
event at 1599638661.972822, code 00, type 00, val 00
event at 1599638662.274310, code 57, type 03, val 58
event at 1599638662.274310, code 53, type 03, val 555
event at 1599638662.274310, code 54, type 03, val 225
event at 1599638662.274310, code 330, type 01, val 01
event at 1599638662.274310, code 00, type 03, val 555
event at 1599638662.274310, code 01, type 03, val 225
event at 1599638662.274310, code 00, type 00, val 00
event at 1599638662.341550, code 54, type 03, val 224
event at 1599638662.341550, code 01, type 03, val 224
event at 1599638662.341550, code 00, type 00, val 00
event at 1599638662.375387, code 57, type 03, val -1
event at 1599638662.375387, code 330, type 01, val 00
event at 1599638662.375387, code 00, type 00, val 00
2
touch
1
event at 1599638664.166423, code 57, type 03, val 59
event at 1599638664.166423, code 53, type 03, val 718
event at 1599638664.166423, code 54, type 03, val 438
event at 1599638664.166423, code 330, type 01, val 01
event at 1599638664.166423, code 00, type 03, val 718
event at 1599638664.166423, code 01, type 03, val 438
event at 1599638664.166423, code 00, type 00, val 00
event at 1599638664.233646, code 54, type 03, val 437
event at 1599638664.233646, code 01, type 03, val 437
event at 1599638664.233646, code 00, type 00, val 00
event at 1599638664.250629, code 57, type 03, val -1
event at 1599638664.250629, code 330, type 01, val 00
event at 1599638664.250629, code 00, type 00, val 00
2
3
4
5
touch
1
event at 1599638669.479641, code 57, type 03, val 60
event at 1599638669.479641, code 53, type 03, val 713
event at 1599638669.479641, code 54, type 03, val 259
event at 1599638669.479641, code 330, type 01, val 01
event at 1599638669.479641, code 00, type 03, val 713
event at 1599638669.479641, code 01, type 03, val 259
event at 1599638669.479641, code 00, type 00, val 00
event at 1599638669.580408, code 57, type 03, val -1
event at 1599638669.580408, code 330, type 01, val 00
event at 1599638669.580408, code 00, type 00, val 00
2
3
touch
1
event at 1599638671.889902, code 57, type 03, val 61
event at 1599638671.889902, code 53, type 03, val 88
event at 1599638671.889902, code 54, type 03, val 351
event at 1599638671.889902, code 330, type 01, val 01
event at 1599638671.889902, code 00, type 03, val 88
event at 1599638671.889902, code 01, type 03, val 351
event at 1599638671.889902, code 00, type 00, val 00
event at 1599638672.024168, code 54, type 03, val 354
event at 1599638672.024168, code 01, type 03, val 354
event at 1599638672.024168, code 00, type 00, val 00
event at 1599638672.058031, code 57, type 03, val -1
event at 1599638672.058031, code 330, type 01, val 00
event at 1599638672.058031, code 00, type 00, val 00
touch
1
event at 1599638673.213046, code 57, type 03, val 62
